Name,Type1,Type2,BST,HP,Attack,Defense,SpAtk,SpDef,Speed,Generation,Personality,Hardy,Lonely,Adamant,Naughty,Brave,Bold,Docile,Impish,Lax,Relaxed,Modest,Mild,Bashful,Rash,Quiet,Calm,Gentle,Careful,Quirky,Sassy,Timid,Hasty,Jolly,Naive,Serious,,AtkAverage,DefAverage,SpAAverage,SpDAverage,SpAverage,,AtkRank,DefRank,SpARank,SpDAverage,SpAverage
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,Quiet,3.9,0.0,-5.0,-5.0,1.3,0.0,3.9,-5.0,-5.0,1.3,5.0,5.0,5.1,0.0,6.3,5.0,5.0,5.1,0.0,6.3,-1.3,-1.3,-6.3,-6.3,3.5,,-0.99,-0.99,4.29,4.29,-2.31,,3,3,1,1,5
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,Bashful,3.8,-0.2,-4.4,-4.4,0.5,0.2,3.9,-4.2,-4.2,0.7,4.4,4.2,4.9,0.0,4.9,4.4,4.2,4.9,0.0,4.9,-0.5,-0.7,-4.9,-4.9,3.7,,-0.96,-0.70,3.70,3.70,-1.48,,4,3,1,1,5
Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,Bashful,3.9,-0.2,-3.4,-3.4,0.4,0.2,4.0,-3.2,-3.2,0.6,3.4,3.2,4.8,0.0,3.8,3.4,3.2,4.8,0.0,3.8,-0.4,-0.6,-3.8,-3.8,3.8,,-0.55,-0.35,3.05,3.05,-0.95,,4,3,1,1,5
Charmander,Fire, ,309,39,52,43,60,50,65,1,Hasty,4.2,2.9,-2.6,0.6,-4.2,-2.9,3.5,-5.5,-2.3,-7.1,2.6,5.5,4.9,3.2,-1.6,2.6,5.5,4.9,3.2,-1.6,4.2,7.1,1.6,4.9,5.3,,0.19,-2.86,2.91,2.91,4.61,,4,5,2,2,1
Charmeleon,Fire, ,405,58,64,58,80,65,80,1,Mild,4.0,1.5,-4.0,-0.2,-4.0,-1.5,3.6,-5.4,-1.7,-5.4,4.0,5.4,4.9,3.7,0.0,4.0,5.4,4.9,3.7,0.0,4.0,5.4,0.0,3.7,4.9,,-0.54,-2.10,3.60,3.60,3.60,,4,5,2,2,1
Charizard,Fire,Flying,534,78,84,78,109,85,100,1,Mild,3.9,1.1,-4.7,-0.2,-3.0,-1.1,3.7,-5.8,-1.3,-4.1,4.7,5.8,5.1,4.5,1.7,4.7,5.8,5.1,4.5,1.7,3.0,4.1,-1.7,2.8,4.7,,-0.56,-1.74,4.35,4.35,2.58,,4,5,1,1,3
Squirtle,Water, ,314,44,48,65,50,64,43,1,Relaxed,3.8,-5.4,-0.6,-5.1,1.6,5.4,5.2,4.8,0.3,7.0,0.6,-4.8,4.0,-4.5,2.2,0.6,-4.8,4.0,-4.5,2.2,-1.6,-7.0,-2.2,-6.7,3.4,,-1.15,4.54,-0.48,-0.48,-2.82,,4,1,2,2,5
Wartortle,Water, ,405,59,63,80,65,80,58,1,Relaxed,3.9,-4.2,-0.5,-4.2,1.2,4.2,4.9,3.7,0.0,5.4,0.5,-3.7,4.0,-3.7,1.7,0.5,-3.7,4.0,-3.7,1.7,-1.2,-5.4,-1.7,-5.4,3.6,,-0.75,3.65,-0.23,-0.23,-2.05,,4,1,2,2,5
Blastoise,Water, ,530,79,83,100,85,105,78,1,Docile,3.9,-3.2,-0.4,-4.2,0.9,3.2,4.7,2.8,-0.9,4.2,0.4,-2.8,4.0,-3.8,1.3,0.4,-2.8,4.0,-3.8,1.3,-0.9,-4.2,-1.3,-5.1,3.7,,-0.58,2.79,-0.18,-0.18,-1.57,,4,1,2,2,5
Caterpie,Bug, ,195,45,30,35,20,20,45,1,Jolly,3.8,-2.6,5.1,5.1,-7.7,2.6,4.5,7.7,7.7,-5.1,-5.1,-7.7,2.6,0.0,-12.8,-5.1,-7.7,2.6,0.0,-12.8,7.7,5.1,12.8,12.8,5.8,,0.77,3.46,-4.62,-4.62,8.85,,3,2,4,4,1
