question,question_type,answer_1,answer_2,answer_3,answer_4,result_1,result_2,result_3,result_4
You decide to go on a road trip. Where are you headed?,personality,"A golden, sunny beach!","The big, glamorous city.",I'm fine staying at home...,,Jolly,Sassy,Modest,
What's in your pockets right now?,personality,Nothing!,I don't have pockets?,A used tissue and ...one piece of gum.,"My phone, wallet, earphones, and a pen!",Relaxed,Lax,Hasty,Careful
"Have you ever thought that if you dug into your backyard, you would find a buried treasure?",personality,Yes.,No.,,,Naive,Serious,,
You open a buried treasure chest... what does it contain?,personality,"Gold, and lots of it!",A memory from a lost time.,Skulls and bones! Muahahaha!,A magical sword of destruction!,Sassy,Gentle,Impish,Brave
You have a really important test tomorrow! What do you do?,personality,Study. All. Night. Long,Wingin' it!,Test? I think I have a fever...,,Adamant,Bold,Quirky,
What's your studying habit?,personality,"Work hard, everyday.",I guess when I feel like it?,"In a group, with my besties!",Don't need to study.,Careful,Mild,Jolly,Rash
You see a cake that's past it's expiration date... but only by 1 day. What do you do?,personality,Chow time!,I need a closer look.,Make someone else try it first.,Gross!,Brave,Careful,Quirky,Timid
Everyone around you is laughing at something you think is pretty boring. What do you do?,personality,"Nothing, really.",Laugh along.,Depends on the situation.,,Relaxed,Bashful,Calm,
Do you prefer being busy or having a lot of free time?,personality,Being busy.,Free time.,In-between.,,Hasty,Lax,Hardy,
Someone who you vaguely recognize sees you. What do you do?,personality,Make some small talk.,Nope. Nope. Don't feel like saying hi.,Quickly make an excuse and leave.,Regale them with your plan of world domination.,Calm,Quiet,Rash,Quirky
"Do you want the good news, or the bad news?",personality,Good news.,Bad news.,Just tell me!,,Jolly,Serious,Rash,
Did you make a New Year's Resolution?,personality,Of course!,Nope.,What are those?,,Jolly,Adamant,Relaxed,
Can you handle spicy food?,taste,Turn the heat up!,Not at all.,A little spiciness is fine.,,Fire,Grass,Water,
Do you think lying is sometimes necessary?,personality,Yep.,Never.,,,Bold,Brave,,
The people at the next table are singing Happy Birthday. What do you do?,personality,Sing along!,"Nothing, really.","Make a wish, for them to stop.",You didn't do 5 years of choir for nothing!,Jolly,Bashful,Sassy,Quirky
Do you think people today are lazier than they were 50 years ago?,personality,Yes.,No.,Don't care.,,Serious,Relaxed,Docile,
Do you want to be taller someday?,personality,Yup!,Don't care!,...I'm not growing any taller.,,Hasty,Relaxed,Lonely,
Do you see things through to the end?,personality,Yes!,Not really.,,,Adamant,Lax,,
"Have you ever said ""Nice to meet you"" to someone you've already met?",personality,Yeah!,Uh... no.,,,Quirky,Mild,,
You're at a movie theater. What are you there to see?,taste,An action movie.,Romance.,The award-winning biography.,A musical.,Hasty,Modest,Serious,Jolly
You're hiking up a mountain when you reach diverging paths. Where do you go?,personality,The narrow path.,The wide path.,The shadowy gap in the trees.,Jump in the river!,Quiet,Docile,Brave,Quirky
Your friend takes a spectacular fall! What do you do first?,personality,Laugh! Just a little bit!,Help them up!,Fall with them!,I tripped them up!,Naive,Modest,Jolly,Impish
Which of these places is the most peaceful to you?,personality,Library.,Beach.,My room.,My grandma's house.,Quiet,Relaxed,Lonely,Modest
"How well did you wash your hands, the last time you went?",personality,"Wet hands, soap, wash thoroughly for a minute...",Wet my hands and go.,Didn't bother.,,Careful,Bold,Impish,
Does the deep ocean scare you?,taste,It's beautiful.,Yeah! It's so empty!,Let's go find the Titanic!,,Water,Fire,Dark,
Do you spend a lot of time shopping for clothes?,taste,Too much time.,Not at all.,Just get what I need.,,Fairy,Dragon,Normal,
Your friend is running late. Is that OK?,personality,It's fine!,No!,,,Relaxed,Serious,,
Do you believe in zodiac signs?,personality,Yes!,No!,,,Sassy,Hardy,,
Did you believe in Santa as a child?,personality,Not for one second!,I was fooled a little bit!,"Wait, he's not real?!",,Adamant,Calm,Naive,
You're a medieval adventurer. Which party member are you?,taste,An old and wise wizard.,The great hero!,A brutal berserker.,The reliable healer.,Dragon,Steel,Fire,Normal
Do you keep a lot of pets?,taste,Yes! I love them!,Just the one.,No - but I'd like one someday.,It's not for me.,Electric,Normal,Normal,Steel
A crazy masked assassin is chasing you down! What now?,personality,Drop down & play dead!,Hide!,Hide... and fight!,Can we just talk for a moment?,Timid,Careful,Brave,Quirky
You want to reveal you like someone a whole bunch. How do you do it?,personality,Show it by subtly flirting.,Play a prank on them!,State it clearly for all to hear!,Keep it to myself! It's too risky!,Brave,Impish,Naughty,Lonely
What book are you reading next?,taste,A great classic.,A fantasy.,Something I can learn from!,Don't want to read!,Ghost,Fairy,Psychic,Fighting
What type of music did you last listen to?,taste,Pop from another country!,Classical music.,Something chill.,A sad song.,Electric,Psychic,Water,Ice
"If you were to commit the perfect murder, how would you do it?",taste,Slip a little something in their tea.,A knife made with ice.,Fake a workplace accident!,Catch them alone in an isolated place.,Poison,Ice,Psychic,Dark
Ouch! You got a papercut. How did you react?,taste,Yell 'ouch!',Grumble a little to myself.,Crack a paper-themed joke.,Didn't react at all.,Normal,Fire,Ghost,Rock
What do you value most in a best friend?,personality,Humor.,Loyalty.,Kindness.,,Jolly,Brave,Modest,
What 'completes' a good burger for you?,personality,The pickle!,Good 'ol cheese.,My favorite sauces!,I don't like burgers.,Hardy,Mild,Quirky,Quiet
Do you like to try new things?,personality,Yes.,Every once in a while.,No.,,Bold,Gentle,Timid,
What would you wish from a genie?,personality,Lots of money!,World peace.,I'd find a way to get more wishes.,Make it rain food!,Sassy,Naive,Bold,Quirky
Do you have any nervous habits?,personality,I can't keep my feet still sometimes.,I touch my hair and nails a lot.,I'm an internal processor.,No. I don't get nervous.,Rash,Bashful,Careful,Calm
Do you like collecting things?,taste,Yes!,No!,,,Bug,Normal,,
"If you could experience a natural disaster (safely), what would it be?",taste,An earthquake.,A tsunami.,A tornado.,A volcanic eruption.,Ground,Water,Flying,Fire
You're at the beach. What are you doing first?,taste,Building a sandcastle!,Looking for weird creatures!,Having a nice swim!,Sunbathing!,Ground,Bug,Water,Grass
Are you afraid of snakes?,taste,I love them!,They're ok.,They're freaky!,,Poison,Dark,Steel,
Do you believe in reincarnation?,personality,Yes!,No!,,,Gentle,Hardy,,
Do you enjoy playing pranks?,personality,They're the best!,Not really.,I like watching them happen.,How could you do that to somebody else?,Naughty,Calm,Naive,Timid
Are you scared of the dark?,taste,Yes.,No.,,,Bug,Dark,,
What superpower would you like to have?,taste,The power of flight.,Super-strength!,The ability to read minds.,Teleportation!,Flying,Fighting,Psychic,Electric
Do you have a lot of secrets?,taste,Yes. ,No.,,,Dark,Normal,,
Do you agree that 'offense is the best defense'?,taste,Totally!,Defense is the best.,Please don't fight!,,Fighting,Rock,Fairy,
Are you a materialistic person?,personality,Yes.,No.,,,Sassy,Modest,,
What does your dream job look like?,personality,Being able to help people!,I'm financially comfortable there.,Something new and exciting everyday!,A job that doesn't feel like work.,Brave,Docile,Naive,Lax
You find a lost wallet with $100 at a train station. There's no identification. What are you going to do?,personality,Turn it into lost & found.,Give the money to someone who needs it.,Keep it and try to find the owner online.,Haha! I'm rich!,Mild,Naive,Modest,Naughty
"Your friends are arguing over text, in a very public groupchat. What do you do?",personality,Tell them to take it somewhere else!,Try to resolve the situation neutrally.,Write furiously. This is my fight too!,Do nothing (or maybe get popcorn).,Serious,Careful,Bold,Mild
Do you enjoy public speaking?,personality,Yes!,No!,Not really - but I can do it when I have to.,,Jolly,Bashful,Docile,
What is your favorite season?,taste,Spring.,Autumn.,Winter.,Summer.,Grass,Ghost,Ice,Water
Are you into learning about history?,taste,I love it!,From time to time.,Not really.,,Rock,Psychic,Electric,
"If you could leave it all and go wherever you wanted, what would you do?",taste,Go as far away into nature as possible.,Go find myself in another country.,Visit family I haven't seen in some time.,Wander aimlessly. Doesn't matter where.,Dragon,Flying,Bug,Ghost
Do you wish fairytales were real?,taste,Yes!,No!,Sometimes.,A long time ago.,Dragon,Steel,Normal,Poison
What's your personal aesthetic?,taste,Cute!,Cool!,Somewhere in-between!,Don't care!,Fairy,Dragon,Water,Fighting
How would you like your body to be treated after death?,taste,"Buried, safe and sound.",Donated to science!,Scatter my ashes to the wind.,I'm an immortal! Muahahaha!,Ground,Steel,Flying,Ghost
Are you a clumsy person?,taste,Not at all!,Yes! It's really bad!,Not really.,,Ground,Fairy,Rock,
What did you do the last time you saw a spider?,personality,Scooped and put it outside.,AIEEEEEEEE!!! Someone get it!,Attack it with the nearest thing I have.,Just let it be.,Gentle,Timid,Rash,Lax
Do you think before you speak?,personality,Yes.,No.,,,Hardy,Relaxed,,
Have you ever realized you were hogging a conversation?,personality,Oops! Pretty often!,When I'm really passionate.,No. I don't think?,Never.,Rash,Lonely,Quiet,Docile
"When you see a switch, do you have an overwhelming urge to flip it?",personality,Yes!,Nope!,,,Hasty,Calm,,
Is it important to always aim to be the best?,personality,It's my way of life!,Nope!,That's toxic!,I try my best!,Lonely,Calm,Bashful,Adamant
Do you want to be famous?,personality,Yes!,No!,,,Sassy,Docile,,
How often do you tell jokes?,personality,All the time!,I joke around a little.,Not often.,Never.,Naughty,Impish,Modest,Mild
Do you like karaoke?,personality,Yes.,No.,,,Jolly,Timid,,
Do you like cooking?,personality,Yes!,No!,,,Hardy,Lax,,
"Have you ever accidentally called a teacher ""Mom"" or ""Dad""?",personality,Yep!,Nope!,,,Rash,Quiet,,
You're eating at a very fancy restaurant known for its food. Which course do you select?,personality,Seared steak.,Healthy fish.,Vegetarian option.,Anything! It's all good!,Impish,Hardy,Bashful,Bold
"Everyone's sharing a dessert, and there's an extra piece. What do you do?",personality,Don't say anything.,Let everyone know.,First come - first served!,,Adamant,Gentle,Naughty,
Hey look! There's someone behind you! So… did you look just now?,personality,You scared me!,Ok. You tricked me...,No way. I didn't fall for it.,Huh?! What?,Timid,Hasty,Lonely,Lax
How are your mornings?,personality,Always in a rush!,I use a routine.,Well... They happen.,Horrible!,Naughty,Quiet,Mild,Sassy
You're in a completely silent place when someone passes gas! What do you do?,personality,Roll around laughing!,Just ignore it...,Find out who it was!,Shoot a menacing glare.,Naive,Docile,Impish,Sassy
You've been asked to do a difficult task. What will you do?,personality,Do it myself.,Ask for help.,Make someone else do it!,,Lonely,Adamant,Bold,
The phone's ringing! What do you do?,personality,Answer right away!,Wait a bit - who is it?,Ignore it...,,Hasty,Gentle,Timid,
You've just won the lottery! You...,personality,Celebrate! Book some flights!,Call someone close and tell them!,Ugh. It's time to strategize...,,Naive,Gentle,Serious,
"Your friend suddenly won't listen to you, when everything was fine yesterday. What do you think?",personality,Did I do something wrong?,Whatever. They'll tell me when they want to.,I think I know what's wrong (again)...,,Naive,Lax,Hardy,
You're daydreaming… when your friend sprays you with water! What now?,personality,Hey! What the heck?!,Aww...,Woo-hoo! Water fiht!,Water fight!,Hasty,Lonely,Naughty,
You see a big and comfortable bed. Your first reaction is to…,personality,Test it with your hands.,Belly flop!,Curl up...,Jump up and down!,Careful,Impish,Lonely,Naughty
How's your skill with technology?,taste,I'm really good!,I know enough to get by.,Not the best!,Awful!,Steel,Electric,Fighting,Dragon
What do you think of graffiti?,taste,I love it!,It's ok.,I hate it!,,Poison,Fairy,Ground,
How do you make friends with people?,personality,Walk up to them and say hi!,Wait for them to say hi.,It takes a while for me to get close to anyone.,They're usually the friends of my friends!,Jolly,Bashful,Lonely,Sassy
You've lost your wallet! What will you do?,personality,Calm down and retrace my steps.,Tear the place apart frantically!,Ask someone else to help!,Give up.,Calm,Hasty,Mild,Lax
Halfway to a job interview you realize you forgot something. You'll be late if you turn back!,personality,Hurry back to get it! I can improvise an excuse!,I can't be bothered to get it now.,Being punctual is the most important thing!,,Brave,Relaxed,Serious,
"Your food is before anyone else, but you're starving. Do you wait for everyone else to eat?",personality,I'll still wait for everyone's food.,Explain your situation - then eat!,It's chowtime!,,Quiet,Modest,Rash,
It's a cake! What kind of cake did you imagine?,taste,The sweetest strawberry shortcake.,"Rich, creamy cheesecake.",An elegant and mature black-forest gateau.,A birthday cake!,Fairy,Grass,Dark,Electric
How do you act in a museum?,personality,I take my time to examine everything and think.,Look for the funniest thing there!,Glance at everything. Then leave.,Waiting at the café for my friends to finally leave.,Gentle,Quirky,Hasty,Hardy
Do you go to sleep on time?,taste,Time? What time?,"I try, but I don't fall asleep quickly.","Out of exhaustion, yes.",Yep! It's no problem!,Dark,Fire,Electric,Rock
Do you like cold weather?,taste,Yes!,No!,,,Ice,Fire,,
Do you have a strong sense of focus?,taste,Yes.,No.,,,Psychic,Bug,,
Do you believe in life after death?,taste,Absolutely!,Not at all.,Maybe?,,Ghost,Poison,Fairy,
How do you treat someone who has wronged you badly?,taste,I don't talk to them. Simple as that.,I forgive and forget.,I don't know...,I stay friendly - but am cautious.,Ice,Grass,Fairy,Rock
Do you enjoy gardening?,taste,Yes!,No!,,,Grass,Fire,,
Are you a martial artist?,taste,I am!,I'm not - but I think it's cool!,Nope!,,Fighting,Normal,Psychic,
Do you enjoy swimming?,taste,Yes!,No!,,,Water,Ground,,
